保利江上明珠一期,5室2厅,207.09平米,南,毛坯,无电梯,高楼层(共5层)2010年建板楼,观音桥,24,11590,
保利江上明珠二期,4室2厅,183平米,南,毛坯,中楼层(共8层)2013年建板楼,观音桥,18,10110,
鲁能星城七街区,3室2厅,117.2平米,南,精装,有电梯,高楼层(共30层)2007年建板楼,龙头寺,15,12970,
聚信广场,1室1厅,58.09平米,北,精装,有电梯,中楼层(共33层)2008年建塔楼,花卉园,56,9641,
碧泉花园,2室2厅,83平米,东南,简装,无电梯,低楼层(共6层)2003年建板楼,花卉园,61,7350,
首创鸿恩国际生活区三期,3室2厅,127.64平米,西南,毛坯,有电梯,高楼层(共9层)2012年建板楼,大石坝,13,10577,
大庆村石油小区,2室2厅,94.21平米,南 北,其他,无电梯,中楼层(共6层)1997年建板楼,花卉园,55,5839,
帝豪怡庭,2室2厅,78.85平米,北,简装,有电梯,高楼层(共15层)2003年建塔楼,观音桥,60,7610,
长安丽都,2室2厅,118.53平米,南,毛坯,有电梯,低楼层(共11层)2008年建塔楼,五里店,11,9703,
龙湖春森彼岸,4室2厅,178.54平米,南,简装,低楼层(共34层)2008年建塔楼,北滨路,36,20164,
重百小区,5室3厅,260.52平米,南,精装,中楼层(共4层)2000年建板楼,黄泥磅,13,5298,
鹏润蓝海A区,1室0厅,32.77平米,北,简装,有电梯,高楼层(共21层)2008年建塔楼,观音桥,33,10071,
中海紫御江山,4室2厅,146平米,东北,毛坯,有电梯,高楼层(共33层)2013年建塔楼,江北嘴,19,13014,
鹏润蓝海A区,1室0厅,32.77平米,北,简装,有电梯,高楼层(共21层)2008年建塔楼,观音桥,33,10071,
花卉西四路,2室1厅,71.94平米,南,其他,高楼层(共11层)1999年建板楼,花卉园,38,5283,
凤凰湾纯水岸,3室2厅,141.53平米,北,毛坯,有电梯,高楼层(共7层)板楼,石马河,15,10952,
麒麟公馆,2室2厅,88.33平米,西,简装,有电梯,低楼层(共32层)2008年建塔楼,五里店,92,10416,
远银大厦,2室2厅,98平米,东,精装,有电梯,中楼层(共24层)2003年建塔楼,五里店,75,7654,
中海紫御江山,3室2厅,109.22平米,东北,其他,有电梯,低楼层(共48层)2013年建塔楼,江北嘴,19,18129,
招商江湾城,4室2厅,155平米,东南 南,毛坯,有电梯,低楼层(共32层)2011年建板楼,北滨路,20,12904,
东方家园,2室2厅,92平米,东,精装,有电梯,低楼层(共23层)2003年建塔楼,观音桥,75,8153,
鲁能星城12街区,3室2厅,129.94平米,南,毛坯,有电梯,低楼层(共32层)2010年建塔楼,龙头寺,99,7619,
鲁能星城12街区,4室2厅,119.45平米,南,精装,有电梯,低楼层(共32层)2010年建塔楼,龙头寺,14,11721,
御庭苑,1室1厅,48.79平米,东,精装,有电梯,中楼层(共17层)2001年建塔楼,五里店,36,7379,
爱丁堡,3室2厅,140.27平米,西北,简装,有电梯,中楼层(共13层)2002年建塔楼,花卉园,83,5918,
华润中央公园,3室2厅,114.36平米,东北,毛坯,有电梯,中楼层(共33层)2011年建塔楼,大石坝,11,10144,
龙湖春森彼岸,4室2厅,176.22平米,东,毛坯,有电梯,中楼层(共34层)2010年建塔楼,北滨路,27,15322,
国兴北岸江山东区,2室2厅,77.92平米,东北,毛坯,有电梯,中楼层(共33层)2013年建塔楼,北滨路,73,9369,
光宇阳光海岸,1室0厅,44.81平米,东南,精装,中楼层(共26层)2004年建塔楼,观音桥,45,10043,
万丰一村小区,2室1厅,70.86平米,东北,毛坯,低楼层(共9层)2000年建塔楼,五里店,48,6774,
石油佳苑,4室2厅,128.09平米,南,其他,有电梯,低楼层(共20层)2002年建塔楼,花卉园,77,6012,
